#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
2170.0%,2146.248046875,324.5598931189653,0.30085906306723326,394
2180.0%,2161.7470703125,326.37107292217314,0.30085906306723326,394
2190.0%,2184.509765625,297.59822103734354,0.30085906306723326,394
2200.0%,2242.984375,291.87358253380063,0.30085906306723326,394
2210.0%,2089.919921875,308.67828939885686,0.30085906306723326,394
2220.0%,2169.9814453125,287.6387096244515,0.30085906306723326,394
2230.0%,2104.2255859375,299.21790596500205,0.30085906306723326,395
2240.0%,2130.287109375,298.5649806455372,0.30085906306723326,395
2250.0%,2184.576171875,284.2707012251215,0.30085906306723326,395
2260.0%,2121.009765625,304.4501344297409,0.30085906306723326,395
2270.0%,2126.23828125,321.9063922058541,0.30085906306723326,395
2280.0%,2229.1279296875,278.57622581450494,0.30085906306723326,395
2290.0%,2148.203125,308.51493933227795,0.30085906306723326,395
2300.0%,2187.3779296875,302.52343940647114,0.30085906306723326,395
2310.0%,2181.458984375,295.1989526403858,0.30085906306723326,395
2320.0%,2123.0048828125,291.30404628911225,0.30085906306723326,395
2330.0%,2056.9267578125,293.32235052955434,0.30085906306723326,395
2340.0%,2043.94140625,302.38103290870595,0.30085906306723326,395
2350.0%,2105.6328125,290.1845771386928,0.30085906306723326,395
2360.0%,2167.8037109375,283.18111457718834,0.30085906306723326,395
2370.0%,2081.8544921875,319.0498042909992,0.30085906306723326,395
2380.0%,2148.1650390625,303.0913355069717,0.30085906306723326,395
2390.0%,2196.05078125,287.32489493654884,0.30085906306723326,395
2400.0%,2123.9765625,310.71556867409646,0.30085906306723326,395
2410.0%,2138.05859375,311.16744395123237,0.30085906306723326,395
2420.0%,2106.5322265625,322.24067814022044,0.30085906306723326,395
2430.0%,2198.7490234375,301.08044719641197,0.30085906306723326,395
2440.0%,2096.7705078125,299.29516694204625,0.30085906306723326,395
2450.0%,2138.9482421875,277.56746433589217,0.30085906306723326,395
2460.0%,2151.5986328125,279.4335420015602,0.30085906306723326,395
2470.0%,2150.169921875,296.43237390707526,0.30085906306723326,395
2480.0%,2155.2138671875,273.492249795283,0.30085906306723326,395
2490.0%,2157.71875,298.5037468386843,0.30085906306723326,395
2500.0%,2152.607421875,316.62815927569875,0.30085906306723326,395
2510.0%,2227.5625,305.3948519672784,0.30085906306723326,395
2520.0%,2216.484375,336.20818339058627,0.30085906306723326,395
2530.0%,2240.537109375,317.3750686141352,0.30085906306723326,395
2540.0%,2185.482421875,319.0185354426413,0.30085906306723326,396
2550.0%,2216.8515625,329.10517898182127,0.30085906306723326,396
2560.0%,2229.7705078125,304.11948693918623,0.30085906306723326,396
2570.0%,2188.9892578125,314.39291648073925,0.30085906306723326,396
2580.0%,2185.998046875,298.66698728112976,0.30085906306723326,396
2590.0%,2142.90625,310.2073889176053,0.30085906306723326,396
2600.0%,2166.7138671875,321.6952016144701,0.30085906306723326,396
2610.0%,2217.26171875,310.5916614361003,0.30085906306723326,396
2620.0%,2204.423828125,303.48047474056887,0.30085906306723326,396
2630.0%,2152.7001953125,328.32008024962977,0.30085906306723326,396
2640.0%,2224.2578125,299.6228388099766,0.30085906306723326,396
2650.0%,2175.1171875,298.87696787929207,0.30085906306723326,396
2660.0%,2156.4990234375,295.91824998255674,0.30085906306723326,396
2670.0%,2243.5234375,275.93000732170805,0.30085906306723326,396
2680.0%,2175.9931640625,304.33175778924215,0.30085906306723326,396
2690.0%,2170.755859375,308.9626717510926,0.30085906306723326,396
2700.0%,2107.0283203125,329.4016535616336,0.30085906306723326,396
2710.0%,2190.8837890625,281.5750369360963,0.30085906306723326,396
2720.0%,2174.900390625,270.70040960201567,0.30085906306723326,396
2730.0%,2069.458984375,292.8183405053128,0.30085906306723326,396
2740.0%,2171.9951171875,305.23934246536817,0.30085906306723326,396
2750.0%,2187.078125,297.7681110006277,0.30085906306723326,396
2760.0%,2243.736328125,283.7100228712896,0.30085906306723326,396
